TRADING_DATE,PERIOD,DEMAND,USEP
7-Jul-13,48,5142.857,167.5
8-Jul-13,1,5018.199,154.5
8-Jul-13,2,4904.645,151.38
8-Jul-13,3,4802.928,151.33
8-Jul-13,4,4737.672,150.16
8-Jul-13,5,4679.18,149.51
8-Jul-13,6,4627.885,148.21
8-Jul-13,7,4590.625,147.35
8-Jul-13,8,4564.711,147.15
8-Jul-13,9,4557.893,146.98
8-Jul-13,10,4576.58,147.25
8-Jul-13,11,4640.489,148.21
8-Jul-13,12,4771.563,150.12
8-Jul-13,13,4923.645,151.34
8-Jul-13,14,5063.371,149.33
8-Jul-13,15,5238.484,151.43
8-Jul-13,16,5541.421,151.15
8-Jul-13,17,5866.851,161.73
8-Jul-13,18,6092.554,178.22
8-Jul-13,19,6232.529,198.36
8-Jul-13,20,6325.831,199.82
8-Jul-13,21,6418.298,240.21
8-Jul-13,22,6473.529,271.89
8-Jul-13,23,6469.673,271.97
8-Jul-13,24,6412.627,225.73
8-Jul-13,25,6369.994,207.97
8-Jul-13,26,6386.246,209.97
8-Jul-13,27,6437.293,240.28
8-Jul-13,28,6468.813,240.27
8-Jul-13,29,6459.067,240.26
8-Jul-13,30,6430.027,225.7
8-Jul-13,31,6399.695,209.96
8-Jul-13,32,6359.687,199.87
8-Jul-13,33,6329.981,195.44
8-Jul-13,34,6318.162,201.97
8-Jul-13,35,6252.508,207.95
8-Jul-13,36,6124.496,162.22
8-Jul-13,37,6041.636,160.57
8-Jul-13,38,6048.172,160.69
8-Jul-13,39,6063.942,160.8
8-Jul-13,40,6029.937,160.54
8-Jul-13,41,5975.585,160
8-Jul-13,42,5925.88,165.08
8-Jul-13,43,5862.065,169.51
8-Jul-13,44,5749.177,175.2
8-Jul-13,45,5621.304,165.43
8-Jul-13,46,5510.045,157.21
8-Jul-13,47,5373.663,155.42
8-Jul-13,48,5235.895,155.15
9-Jul-13,1,5093.162,155.33
9-Jul-13,2,4954.911,151.4
9-Jul-13,3,4807.277,149.23
9-Jul-13,4,4727.22,147.26
9-Jul-13,5,4692.291,146.93
9-Jul-13,6,4690.606,146.91
9-Jul-13,7,4664.574,146.39
9-Jul-13,8,4638.993,145.89
9-Jul-13,9,4626.682,143.03
9-Jul-13,10,4625.748,143.03
9-Jul-13,11,4674.534,146.44
9-Jul-13,12,4769.654,147.28
9-Jul-13,13,4874.293,148.3
9-Jul-13,14,4998.12,147.04
9-Jul-13,15,5174.734,146.07
9-Jul-13,16,5442.14,141.41
9-Jul-13,17,5729.282,151.15
9-Jul-13,18,5944.17,151.55
9-Jul-13,19,6081.585,154.64
9-Jul-13,20,6166.851,184.35
9-Jul-13,21,6219.418,184.4
9-Jul-13,22,6239.552,184.42
9-Jul-13,23,6213.762,161.74
9-Jul-13,24,6156.419,154.66
9-Jul-13,25,6099.651,154.57
9-Jul-13,26,6118.135,154.57
9-Jul-13,27,6173.292,154.59
9-Jul-13,28,6174.489,154.58
9-Jul-13,29,6149.848,154.58
9-Jul-13,30,6109.696,154.55
9-Jul-13,31,6094.945,153.5
9-Jul-13,32,6078.101,151.48
9-Jul-13,33,6099.795,154.54
9-Jul-13,34,6091.794,160.62
9-Jul-13,35,6022.512,154.57
9-Jul-13,36,5890.34,154.54
9-Jul-13,37,5809.155,154.57
9-Jul-13,38,5845.008,154.6
9-Jul-13,39,5869.823,155.83
9-Jul-13,40,5821.316,154.57
9-Jul-13,41,5784.971,154.57
9-Jul-13,42,5744.326,157.19
9-Jul-13,43,5671.461,154.61
9-Jul-13,44,5540.148,163.4
9-Jul-13,45,5389.016,157.16
9-Jul-13,46,5265.392,154.45
9-Jul-13,47,5126.441,151.41
9-Jul-13,48,5013.89,149.23
10-Jul-13,1,4902.025,151.34
10-Jul-13,2,4785.29,147.33
10-Jul-13,3,4647.079,143.93
10-Jul-13,4,4582.812,142.53
10-Jul-13,5,4533.843,138.12
10-Jul-13,6,4493.963,136.95
10-Jul-13,7,4463.08,136.88
10-Jul-13,8,4445.421,136.89
10-Jul-13,9,4433.394,131.57
10-Jul-13,10,4442.787,133.64
10-Jul-13,11,4501.617,136.93
10-Jul-13,12,4639.52,142.65
10-Jul-13,13,4801.681,147.29
10-Jul-13,14,4950.04,147.37
10-Jul-13,15,5129.795,147.46
10-Jul-13,16,5397.748,147.48
10-Jul-13,17,5681.172,152.18
10-Jul-13,18,5885.573,154.52
10-Jul-13,19,5911.959,154.61
10-Jul-13,20,6012.552,161.63
10-Jul-13,21,6155.941,186.4
10-Jul-13,22,6198.435,196.47
10-Jul-13,23,6181.572,187.41
10-Jul-13,24,6100.834,169.58
10-Jul-13,25,6071.76,163.36
10-Jul-13,26,6111.003,176.1
10-Jul-13,27,6173.182,187.4
10-Jul-13,28,6196.308,197.49
10-Jul-13,29,6220.427,206.56
10-Jul-13,30,6234.462,206.56
10-Jul-13,31,6254.208,225.23
10-Jul-13,32,6250.292,207.88
10-Jul-13,33,6250.849,207.88
10-Jul-13,34,6231.699,203.43
10-Jul-13,35,6161.831,252.56
10-Jul-13,36,6031.05,209.99
10-Jul-13,37,5927.918,169.18
10-Jul-13,38,5941.769,176.97
10-Jul-13,39,5953.026,176.98
10-Jul-13,40,5909.648,161.9
10-Jul-13,41,5845.098,161.39
10-Jul-13,42,5771.348,165.74
10-Jul-13,43,5682.509,161.75
10-Jul-13,44,5561.728,165.64
10-Jul-13,45,5456.866,156.53
10-Jul-13,46,5373.892,156.22
10-Jul-13,47,5287.185,157.45
10-Jul-13,48,5180.415,154.52
11-Jul-13,1,5055.916,154.45
11-Jul-13,2,4927.631,151.43
11-Jul-13,3,4740.371,147.28
11-Jul-13,4,4672.044,145.93
11-Jul-13,5,4625.495,142.42
11-Jul-13,6,4612.876,142.31
11-Jul-13,7,4577.271,137.5
11-Jul-13,8,4572.266,137.02
11-Jul-13,9,4547.898,137.02
11-Jul-13,10,4574.83,137.03
11-Jul-13,11,4642.77,142.46
11-Jul-13,12,4780.762,147.23
11-Jul-13,13,4917.094,149.3
11-Jul-13,14,5045.375,147.31
11-Jul-13,15,5208.515,147.32
11-Jul-13,16,5420.078,146.92
11-Jul-13,17,5705.426,151.17
11-Jul-13,18,5921.745,152.59
11-Jul-13,19,6087.4,161.71
11-Jul-13,20,6177.621,187.41
11-Jul-13,21,6237.146,198.5
11-Jul-13,22,6267.066,199.85
11-Jul-13,23,6247.121,199.84
11-Jul-13,24,6178.838,184.61
11-Jul-13,25,6128.691,169.6
11-Jul-13,26,6160.742,183.32
11-Jul-13,27,6192.148,187.42
11-Jul-13,28,6154.629,177.27
11-Jul-13,29,6112.374,163.08
11-Jul-13,30,6078.882,158.49
11-Jul-13,31,6067.938,157.18
11-Jul-13,32,6047.799,154.59
11-Jul-13,33,6028.973,154.59
11-Jul-13,34,5999.048,154.58
11-Jul-13,35,5948.558,152.11
11-Jul-13,36,5840.724,151.56
11-Jul-13,37,5763.043,151.56
11-Jul-13,38,5792.431,152.15
11-Jul-13,39,5828.309,154.2
11-Jul-13,40,5804.821,153.2
11-Jul-13,41,5734.833,152.59
11-Jul-13,42,5679.279,167.1
11-Jul-13,43,5616.199,160.26
11-Jul-13,44,5528.608,155.67
11-Jul-13,45,5383.31,153.29
11-Jul-13,46,5258.508,151.42
11-Jul-13,47,5142.3,152.5
11-Jul-13,48,5015.5,151.05
12-Jul-13,1,4895.788,149.41
12-Jul-13,2,4797.64,149.28
12-Jul-13,3,4664.077,148.2
12-Jul-13,4,4609.914,145.9
12-Jul-13,5,4564.895,143.34
12-Jul-13,6,4514.897,141.9
12-Jul-13,7,4480.142,141.19
12-Jul-13,8,4461.355,139.29
12-Jul-13,9,4463.164,139.29
12-Jul-13,10,4486.225,141.89
12-Jul-13,11,4561.347,144.34
12-Jul-13,12,4693.812,149
12-Jul-13,13,4846.153,149.25
12-Jul-13,14,4990.203,149.33
12-Jul-13,15,5167.483,149.31
12-Jul-13,16,5427.677,149.34
12-Jul-13,17,5690.561,149.59
12-Jul-13,18,5888.014,149.57
12-Jul-13,19,6026.726,152.12
12-Jul-13,20,6120.078,169.62
12-Jul-13,21,6196.392,190.69
12-Jul-13,22,6245.844,201.81
12-Jul-13,23,6230.814,201.8
12-Jul-13,24,6154.545,186.35
12-Jul-13,25,6117.424,176.26
12-Jul-13,26,6142.97,184.37
12-Jul-13,27,6174.917,190.7
12-Jul-13,28,6208.102,201.82
12-Jul-13,29,6232.36,201.8
12-Jul-13,30,6245.655,202.82
12-Jul-13,31,6250.769,206.56
12-Jul-13,32,6249.367,206.51
12-Jul-13,33,6226.699,201.78
12-Jul-13,34,6175.975,190.75
12-Jul-13,35,6084.831,169.59
12-Jul-13,36,5933.32,149.56
12-Jul-13,37,5845.575,149.51
12-Jul-13,38,5879.406,149.56
12-Jul-13,39,5917.108,158.64
12-Jul-13,40,5866.419,158.39
12-Jul-13,41,5754.847,153.29
12-Jul-13,42,5681.237,158.35
12-Jul-13,43,5600.201,152.14
12-Jul-13,44,5494.072,151.12
12-Jul-13,45,5369.573,149.35
12-Jul-13,46,5267.246,148.25
12-Jul-13,47,5172.324,152.1
12-Jul-13,48,5075.16,162.11
13-Jul-13,1,4956.119,169.37
13-Jul-13,2,4866.803,186.21
13-Jul-13,3,4723.498,177.85
13-Jul-13,4,4657.114,185.79
13-Jul-13,5,4587.747,169.16
13-Jul-13,6,4531.815,158.02
13-Jul-13,7,4479.809,152.99
13-Jul-13,8,4462.772,151.92
13-Jul-13,9,4450.133,151.92
13-Jul-13,10,4457.548,151.92
13-Jul-13,11,4503.327,156.48
13-Jul-13,12,4567.857,160.62
13-Jul-13,13,4621.543,156.95
13-Jul-13,14,4630.266,151.93
13-Jul-13,15,4676.069,149.22
13-Jul-13,16,4860.933,151.03
13-Jul-13,17,5081.835,149.44
13-Jul-13,18,5260.959,151.07
13-Jul-13,19,5403.225,173.07
13-Jul-13,20,5498.594,182.26
13-Jul-13,21,5554.114,165.06
13-Jul-13,22,5587.026,173.11
13-Jul-13,23,5573.82,162.36
13-Jul-13,24,5516.755,149.56
13-Jul-13,25,5456.513,146.07
13-Jul-13,26,5434.779,147.12
13-Jul-13,27,5447.224,149.56
13-Jul-13,28,5458.273,149.58
13-Jul-13,29,5442.09,149.57
13-Jul-13,30,5421.778,149.56
13-Jul-13,31,5397.534,149.56
13-Jul-13,32,5368.579,149.51
13-Jul-13,33,5324.719,146.05
13-Jul-13,34,5269.154,142.45
13-Jul-13,35,5204.693,141.5
13-Jul-13,36,5152.001,134.13
13-Jul-13,37,5169.372,141.68
13-Jul-13,38,5261.058,147.03
13-Jul-13,39,5351.805,153.15
