date,price
9/26/18,1.3657
9/25/18,1.366
9/24/18,1.3665
9/23/18,1.3649
9/22/18,1.364
9/21/18,1.3639
9/20/18,1.3645
9/19/18,1.3695
9/18/18,1.3706
9/17/18,1.3715
9/16/18,1.3738
9/15/18,1.3742
9/14/18,1.3742
9/13/18,1.3705
9/12/18,1.3721
9/11/18,1.3758
9/10/18,1.3787
9/9/18,1.3785
9/8/18,1.3787
9/7/18,1.3789
9/6/18,1.3754
9/5/18,1.3752
9/4/18,1.3756
9/3/18,1.3719
9/2/18,1.3718
9/1/18,1.3721
8/31/18,1.3721
8/30/18,1.3667
8/29/18,1.3645
8/28/18,1.3646
8/27/18,1.3622
8/26/18,1.3656
8/25/18,1.3652
8/24/18,1.365
8/23/18,1.3731
8/22/18,1.3664
8/21/18,1.3651
8/20/18,1.369
8/19/18,1.371
8/18/18,1.3713
8/17/18,1.3713
8/16/18,1.3754
8/15/18,1.3796
8/14/18,1.378
8/13/18,1.3758
8/12/18,1.3739
8/11/18,1.3733
8/10/18,1.3731
8/9/18,1.3677
8/8/18,1.3626
8/7/18,1.3643
8/6/18,1.3691
8/5/18,1.3668
8/4/18,1.3661
8/3/18,1.3662
8/2/18,1.3686
8/1/18,1.3619
7/31/18,1.3617
7/30/18,1.3612
7/29/18,1.3616
7/28/18,1.3619
7/27/18,1.3619
7/26/18,1.3641
7/25/18,1.3585
7/24/18,1.3641
7/23/18,1.3652
7/22/18,1.3624
7/21/18,1.3627
7/20/18,1.3625
7/19/18,1.3705
7/18/18,1.3651
7/17/18,1.3649
7/16/18,1.3619
7/15/18,1.3652
7/14/18,1.3656
7/13/18,1.3659
7/12/18,1.3634
7/11/18,1.3643
7/10/18,1.3579
7/9/18,1.3567
7/8/18,1.3579
7/7/18,1.3578
7/6/18,1.3573
7/5/18,1.3651
7/4/18,1.365
7/3/18,1.3649
7/2/18,1.3694
7/1/18,1.363
6/30/18,1.3629
6/29/18,1.3629
6/28/18,1.368
6/27/18,1.3671
6/26/18,1.363
6/25/18,1.3619
6/24/18,1.3583
6/23/18,1.3581
6/22/18,1.3583
6/21/18,1.3583
6/20/18,1.3587
6/19/18,1.3566
6/18/18,1.3511
6/17/18,1.3514
6/16/18,1.3507
6/15/18,1.3509
6/14/18,1.3451
6/13/18,1.3354
6/12/18,1.337
6/11/18,1.3353
6/10/18,1.3358
6/9/18,1.3351
6/8/18,1.3354
6/7/18,1.3338
6/6/18,1.3324
6/5/18,1.3347
6/4/18,1.3366
6/3/18,1.3386
6/2/18,1.3385
6/1/18,1.3384
5/31/18,1.338
5/30/18,1.3391
5/29/18,1.3458
5/28/18,1.3428
5/27/18,1.3418
5/26/18,1.3425
5/25/18,1.3415
5/24/18,1.3393
5/23/18,1.3432
5/22/18,1.3388
5/21/18,1.3398
5/20/18,1.3425
5/19/18,1.3431
5/18/18,1.3429
5/17/18,1.3423
5/16/18,1.3397
5/15/18,1.3446
5/14/18,1.3358
5/13/18,1.3352
5/12/18,1.3364
5/11/18,1.3363
5/10/18,1.3375
5/9/18,1.3458
5/8/18,1.3399
5/7/18,1.3361
5/6/18,1.3329
5/5/18,1.3339
5/4/18,1.3335
5/3/18,1.3308
5/2/18,1.3354
5/1/18,1.3332
4/30/18,1.3261
4/29/18,1.3242
4/28/18,1.3236
4/27/18,1.3236
4/26/18,1.3276
4/25/18,1.3286
4/24/18,1.3221
4/23/18,1.3249
4/22/18,1.3164
4/21/18,1.3163
4/20/18,1.3163
4/19/18,1.3115
4/18/18,1.31
4/17/18,1.3114
4/16/18,1.3102
4/15/18,1.3119
4/14/18,1.3119
4/13/18,1.3119
4/12/18,1.3123
4/11/18,1.3094
4/10/18,1.3092
4/9/18,1.3118
4/8/18,1.3156
4/7/18,1.3154
4/6/18,1.3154
4/5/18,1.316
4/4/18,1.3123
4/3/18,1.3118
4/2/18,1.312
4/1/18,1.3111
3/31/18,1.3104
3/30/18,1.3104
3/29/18,1.3117
3/28/18,1.3123
3/27/18,1.3101
3/26/18,1.3089
3/25/18,1.3156
3/24/18,1.3159
3/23/18,1.3155
3/22/18,1.3156
3/21/18,1.3128
3/20/18,1.3191
3/19/18,1.3165
3/18/18,1.3183
3/17/18,1.3178
3/16/18,1.3176
3/15/18,1.3138
3/14/18,1.3097
3/13/18,1.3117
3/12/18,1.3131
3/11/18,1.3161
3/10/18,1.3162
3/9/18,1.3168
3/8/18,1.3171
3/7/18,1.3142
3/6/18,1.3157
3/5/18,1.3185
3/4/18,1.3186
3/3/18,1.3195
3/2/18,1.3191
3/1/18,1.3224
2/28/18,1.325
2/27/18,1.3242
2/26/18,1.3156
2/25/18,1.3203
2/24/18,1.3198
2/23/18,1.3192
2/22/18,1.3188
2/21/18,1.3245
2/20/18,1.3194
2/19/18,1.313
2/18/18,1.3119
2/17/18,1.3107
2/16/18,1.3109
2/15/18,1.3086
2/14/18,1.3144
2/13/18,1.3229
2/12/18,1.323
2/11/18,1.3283
2/10/18,1.3278
2/9/18,1.3278
2/8/18,1.3324
2/7/18,1.3254
2/6/18,1.3186
2/5/18,1.3216
2/4/18,1.321
2/3/18,1.3197
2/2/18,1.3197
2/1/18,1.3084
1/31/18,1.3119
1/30/18,1.3116
1/29/18,1.3104
1/28/18,1.3072
1/26/18,1.3075
1/25/18,1.3119
1/24/18,1.3081
1/23/18,1.3174
1/22/18,1.3207
1/21/18,1.32
1/19/18,1.3207
1/18/18,1.321
1/17/18,1.3262
1/16/18,1.3208
1/15/18,1.3219
1/14/18,1.3253
1/13/18,1.3228
1/12/18,1.3227
1/11/18,1.3292
1/10/18,1.3343
1/9/18,1.3355
1/8/18,1.3327
1/7/18,1.3264
1/6/18,1.3271
1/5/18,1.3232
1/4/18,1.3275
1/3/18,1.3298
1/2/18,1.3293
1/1/18,1.3372
12/30/17,1.3376
12/29/17,1.3372
12/28/17,1.338
12/27/17,1.3401
12/26/17,1.3436
12/25/17,1.3439
12/24/17,1.344
12/23/17,1.344
12/22/17,1.3437
12/21/17,1.3443
12/20/17,1.3439
12/19/17,1.3467
12/18/17,1.3475
12/17/17,1.3489
12/16/17,1.3487
12/15/17,1.3483
12/14/17,1.3463
12/13/17,1.3469
12/12/17,1.3528
12/11/17,1.3516
12/10/17,1.3529
12/9/17,1.3529
12/8/17,1.3527
12/7/17,1.3512
12/6/17,1.3491
12/5/17,1.3474
12/4/17,1.3472
12/3/17,1.348
12/2/17,1.3458
12/1/17,1.3458
11/30/17,1.3494
11/29/17,1.3472
11/28/17,1.3458
11/27/17,1.3465
11/26/17,1.3477
11/25/17,1.3457
11/24/17,1.3454
11/23/17,1.3453
11/22/17,1.347
11/21/17,1.3542
11/20/17,1.3574
11/19/17,1.3546
11/18/17,1.356
11/17/17,1.356
11/16/17,1.3563
11/15/17,1.357
11/14/17,1.3589
11/13/17,1.362
11/12/17,1.3604
11/11/17,1.3605
11/10/17,1.3594
11/9/17,1.3594
11/8/17,1.3616
11/7/17,1.3641
11/6/17,1.3618
11/5/17,1.3645
11/4/17,1.3651
11/3/17,1.3651
11/2/17,1.3591
11/1/17,1.3611
10/31/17,1.3624
10/30/17,1.3607
10/29/17,1.3659
10/28/17,1.3651
10/27/17,1.3651
10/26/17,1.3671
10/25/17,1.3602
10/24/17,1.3624
10/23/17,1.3615
10/22/17,1.3618
10/21/17,1.3611
10/20/17,1.3611
10/19/17,1.3567
10/18/17,1.357
10/17/17,1.3554
10/16/17,1.3516
10/15/17,1.3494
10/14/17,1.35
10/13/17,1.3492
10/12/17,1.3528
10/11/17,1.354
10/10/17,1.3562
10/9/17,1.3632
10/8/17,1.3655
10/7/17,1.3661
10/6/17,1.3646
10/5/17,1.3642
10/4/17,1.3618
10/3/17,1.3619
10/2/17,1.3616
10/1/17,1.3577
9/30/17,1.3579
9/29/17,1.3576
9/28/17,1.358
9/27/17,1.36
9/26/17,1.3546
9/25/17,1.3514
9/24/17,1.3478
9/23/17,1.3458
9/22/17,1.3458
9/21/17,1.3496
9/20/17,1.3489
9/19/17,1.3467
9/18/17,1.3478
9/17/17,1.3455
9/16/17,1.3451
