TRADING_DATE,PERIOD,DEMAND,USEP
05/Jan/15,13,4702.838,80.13
05/Jan/15,14,4897.667,93.9
05/Jan/15,15,5133.722,79.26
05/Jan/15,16,5430.033,80.62
05/Jan/15,17,5688.389,81.47
05/Jan/15,18,5870.773,77.24
05/Jan/15,19,5984.929,79.34
05/Jan/15,20,6064.439,79.39
05/Jan/15,21,6139.948,80.5
05/Jan/15,22,6190.304,80.74
05/Jan/15,23,6204.896,80.59
05/Jan/15,24,6152.746,80.34
05/Jan/15,25,6093.24,79.48
05/Jan/15,26,6091.982,79.47
05/Jan/15,27,6145.778,80.34
05/Jan/15,28,6211.6,80.8
05/Jan/15,29,6238.458,81.86
05/Jan/15,30,6226.386,81.65
05/Jan/15,31,6231.505,81.89
05/Jan/15,32,6253.115,82.61
05/Jan/15,33,6261.221,82.67
05/Jan/15,34,6222.415,81.64
05/Jan/15,35,6136.514,80.53
05/Jan/15,36,6001.533,77.43
05/Jan/15,37,5900.21,76.23
05/Jan/15,38,5898.992,76.22
05/Jan/15,39,5903.833,76.4
05/Jan/15,40,5880.027,76.38
05/Jan/15,41,5845.098,79.25
05/Jan/15,42,5790.781,114.39
05/Jan/15,43,5710.45,80.37
05/Jan/15,44,5593.342,79.53
05/Jan/15,45,5449.322,79.82
05/Jan/15,46,5311.712,77.78
05/Jan/15,47,5178.124,76.32
05/Jan/15,48,4942.69,72.45
06/Jan/15,1,4714.139,79.77
06/Jan/15,2,4608.969,74.13
06/Jan/15,3,4597.101,76.17
06/Jan/15,4,4554.23,74.12
06/Jan/15,5,4502.706,73.71
06/Jan/15,6,4468.935,73.71
06/Jan/15,7,4433.493,73.07
06/Jan/15,8,4418.797,73.07
06/Jan/15,9,4412.605,73.07
06/Jan/15,10,4450.277,73.2
06/Jan/15,11,4548.102,74.09
06/Jan/15,12,4715.337,79.84
06/Jan/15,13,4877.329,80.65
06/Jan/15,14,5007.374,81.5
06/Jan/15,15,5195.504,77.32
06/Jan/15,16,5468.421,79.4
06/Jan/15,17,5743.67,80.7
06/Jan/15,18,5939.905,79.41
06/Jan/15,19,6092.882,80.75
06/Jan/15,20,6174.942,82.57
06/Jan/15,21,6245.501,83.58
06/Jan/15,22,6295.469,86.91
06/Jan/15,23,6309.654,86.92
06/Jan/15,24,6268.78,86.79
06/Jan/15,25,6220.517,82.73
06/Jan/15,26,6205.567,82.73
06/Jan/15,27,6250.709,82.87
06/Jan/15,28,6302.437,86.91
06/Jan/15,29,6324.837,86.91
06/Jan/15,30,6309.574,86.88
06/Jan/15,31,6291.781,86.91
06/Jan/15,32,6294.545,86.92
06/Jan/15,33,6280.733,86.86
06/Jan/15,34,6237.772,80.9
06/Jan/15,35,6143.67,79.84
06/Jan/15,36,5981.867,77.42
06/Jan/15,37,5876.553,76.3
06/Jan/15,38,5885.663,76.33
06/Jan/15,39,5880.454,76.31
06/Jan/15,40,5833.647,76.27
06/Jan/15,41,5777.421,77.42
06/Jan/15,42,5713.045,87.7
06/Jan/15,43,5642.858,81.66
06/Jan/15,44,5520.318,80.55
06/Jan/15,45,5372.575,80.54
06/Jan/15,46,5240.472,79.4
06/Jan/15,47,5117.137,76.29
06/Jan/15,48,5004.114,74.09
07/Jan/15,1,4908.392,81.17
07/Jan/15,2,4810.125,79.45
07/Jan/15,3,4640.872,74.15
07/Jan/15,4,4561.809,71.39
07/Jan/15,5,4511.329,71.34
07/Jan/15,6,4470.172,71.32
07/Jan/15,7,4449.268,71.03
07/Jan/15,8,4428.26,71.03
07/Jan/15,9,4429.348,70.97
07/Jan/15,10,4454.591,70.96
07/Jan/15,11,4527.039,71.44
07/Jan/15,12,4662.253,74.7
07/Jan/15,13,4838.35,77.32
07/Jan/15,14,4971.491,79.41
07/Jan/15,15,5162.607,74.18
07/Jan/15,16,5442.791,74.78
07/Jan/15,17,5742.333,80.57
07/Jan/15,18,5929.483,76.34
07/Jan/15,19,6055.965,79.59
07/Jan/15,20,6151.21,81.71
07/Jan/15,21,6223.215,85.76
07/Jan/15,22,6272.697,86.74
07/Jan/15,23,6281.076,86.75
07/Jan/15,24,6235.61,82.71
07/Jan/15,25,6196.705,86.74
07/Jan/15,26,6219.88,82.74
07/Jan/15,27,6283.576,86.78
07/Jan/15,28,6315.359,86.86
07/Jan/15,29,6311.587,86.78
07/Jan/15,30,6257.389,82.74
07/Jan/15,31,6232.365,82.7
07/Jan/15,32,6113.1,79.53
07/Jan/15,33,6160.946,80.6
07/Jan/15,34,6116.589,77.54
07/Jan/15,35,6062.381,76.41
07/Jan/15,36,5963.498,77.42
07/Jan/15,37,5889.112,76.33
07/Jan/15,38,5903.137,76.4
07/Jan/15,39,5915.96,77.45
07/Jan/15,40,5868.308,76.4
07/Jan/15,41,5821.286,78.09
07/Jan/15,42,5773.584,91.79
07/Jan/15,43,5693.239,86.65
07/Jan/15,44,5568.761,80.86
07/Jan/15,45,5426.902,86.62
07/Jan/15,46,5273.478,80.81
07/Jan/15,47,5136.545,89.7
07/Jan/15,48,4925.081,77.84
08/Jan/15,1,4732.056,93.61
08/Jan/15,2,4614.58,83.49
08/Jan/15,3,4552.624,80.57
08/Jan/15,4,4478.094,77.8
08/Jan/15,5,4438.021,77.54
08/Jan/15,6,4409.886,76.39
08/Jan/15,7,4380.354,74.59
08/Jan/15,8,4365.971,74.59
08/Jan/15,9,4366.085,74.01
08/Jan/15,10,4389.439,74.59
08/Jan/15,11,4467.28,77.5
08/Jan/15,12,4606.107,81.37
08/Jan/15,13,4792.998,96.74
08/Jan/15,14,4951.437,142.14
08/Jan/15,15,5160.316,85.39
08/Jan/15,16,5453.566,86.49
08/Jan/15,17,5742.537,96.88
08/Jan/15,18,5911.557,81.49
08/Jan/15,19,6029.152,83.38
08/Jan/15,20,6116.594,81.78
08/Jan/15,21,6175.27,81.49
08/Jan/15,22,6217.207,82.68
08/Jan/15,23,6221.376,83.21
08/Jan/15,24,6172.889,80.55
08/Jan/15,25,6135.321,80.52
08/Jan/15,26,6157.04,80.61
08/Jan/15,27,6215.979,82.65
08/Jan/15,28,6253.363,82.65
08/Jan/15,29,6252.245,82.66
08/Jan/15,30,6223.608,82.59
08/Jan/15,31,6213.245,81.69
08/Jan/15,32,6191.775,80.83
08/Jan/15,33,6187.73,88.61
08/Jan/15,34,6140.798,85.62
08/Jan/15,35,6062.585,77.41
08/Jan/15,36,5931.407,74.73
08/Jan/15,37,5860.877,74.37
08/Jan/15,38,5883.133,74.71
08/Jan/15,39,5905.94,76.25
08/Jan/15,40,5862.224,76.27
08/Jan/15,41,5810.427,77.44
08/Jan/15,42,5746.135,170.55
08/Jan/15,43,5664.866,149.48
08/Jan/15,44,5527.023,81.53
08/Jan/15,45,5385.194,116.22
08/Jan/15,46,5228.097,77.39
08/Jan/15,47,5093.698,74.19
08/Jan/15,48,4889.118,72.34
09/Jan/15,1,4693.902,72.07
09/Jan/15,2,4570.879,71.05
09/Jan/15,3,4538.003,62.61
09/Jan/15,4,4461.892,56.4
09/Jan/15,5,4433.533,0
09/Jan/15,6,4402.207,0
09/Jan/15,7,4378.62,71.02
09/Jan/15,8,4356.538,71.01
09/Jan/15,9,4355.812,71
09/Jan/15,10,4383.292,71.46
09/Jan/15,11,4456.539,74.06
09/Jan/15,12,4598.184,76.18
09/Jan/15,13,4792.79,81.39
09/Jan/15,14,4937.69,83.35
09/Jan/15,15,5154.66,80.72
09/Jan/15,16,5425.207,83.42
09/Jan/15,17,5715.783,94.05
09/Jan/15,18,5870.763,83.5
09/Jan/15,19,5979.998,83.65
09/Jan/15,20,6044.976,77.98
09/Jan/15,21,6117.17,107.63
09/Jan/15,22,6145.017,113.37
09/Jan/15,23,6050.379,77.96
09/Jan/15,24,6028.734,76.6
09/Jan/15,25,6025.976,76.6
09/Jan/15,26,6069.086,80.69
09/Jan/15,27,6043.356,77.99
09/Jan/15,28,6061.019,77.98
09/Jan/15,29,6076.551,80.68
09/Jan/15,30,6046.507,76.38
09/Jan/15,31,6026.433,76.26
09/Jan/15,32,6017.114,76.26
09/Jan/15,33,6009.997,76.26
09/Jan/15,34,5980.217,74.77
09/Jan/15,35,5920.234,74.37
09/Jan/15,36,5788.067,73.88
09/Jan/15,37,5714.526,73.63
09/Jan/15,38,5724.347,73.61
09/Jan/15,39,5745.519,74.14
09/Jan/15,40,5714.079,73.93
09/Jan/15,41,5664.985,74.34
09/Jan/15,42,5596.235,88.59
09/Jan/15,43,5506.328,78.04
09/Jan/15,44,5365.597,74.79
09/Jan/15,45,5220.478,76.28
09/Jan/15,46,5072.099,74.2
09/Jan/15,47,4942.248,72.72
09/Jan/15,48,4798.103,72.38
10/Jan/15,1,4675.219,76.21
10/Jan/15,2,4567.186,74.25
10/Jan/15,3,4501.652,73.84
10/Jan/15,4,4430.954,73.73
10/Jan/15,5,4375.484,73.73
10/Jan/15,6,4329.75,73.73
10/Jan/15,7,4286.59,73.22
10/Jan/15,8,4264.946,73.16
10/Jan/15,9,4250.891,73.1
10/Jan/15,10,4253.197,73.09
10/Jan/15,11,4298.265,73.32
10/Jan/15,12,4356.205,73.33
10/Jan/15,13,4424.418,73.73
10/Jan/15,14,4478.78,73.73
10/Jan/15,15,4570.208,74.14
10/Jan/15,16,4776.533,76.18
10/Jan/15,17,5017.24,74.33
10/Jan/15,18,5196.055,76.24
10/Jan/15,19,5329.162,81.38
10/Jan/15,20,5432.13,101.94
10/Jan/15,21,5521.63,148.11
10/Jan/15,22,5574.64,189.67
10/Jan/15,23,5581.757,189.66
10/Jan/15,24,5550.079,175.16
10/Jan/15,25,5508.818,148.47
10/Jan/15,26,5480.648,133.86
10/Jan/15,27,5472.507,144.85
10/Jan/15,28,5462.303,148.01
10/Jan/15,29,5446.32,148.12
10/Jan/15,30,5415.461,135.26
10/Jan/15,31,5378.141,123
10/Jan/15,32,5345.305,102.9
10/Jan/15,33,5314.923,96.68
10/Jan/15,34,5268.434,85.51
10/Jan/15,35,5236.78,84.45
10/Jan/15,36,5217.68,144.69
10/Jan/15,37,5237.987,122.85
10/Jan/15,38,5304.063,151.44
10/Jan/15,39,5342.496,175.2
10/Jan/15,40,5317.582,151.44
10/Jan/15,41,5295.555,151.44
10/Jan/15,42,5295.142,171.56
10/Jan/15,43,5263.652,144.7
10/Jan/15,44,5175.986,110.14
10/Jan/15,45,5076.328,88.53
10/Jan/15,46,4983.25,77.31
10/Jan/15,47,4876.002,75.95
10/Jan/15,48,4790.886,85.55
11/Jan/15,1,4702.803,81.52
11/Jan/15,2,4607.657,78.39
11/Jan/15,3,4489.833,75.23
11/Jan/15,4,4432.971,75.11
11/Jan/15,5,4361.016,74.67
11/Jan/15,6,4315.058,74.03
11/Jan/15,7,4268.986,73
11/Jan/15,8,4254.687,73
11/Jan/15,9,4231.299,71.4
11/Jan/15,10,4226.274,70.96
11/Jan/15,11,4240.965,71.4
11/Jan/15,12,4287.42,73
11/Jan/15,13,4330.535,73
